FREQ_SUM	NUM_REGIONS	MOTIF.KB	STD_DEV	log_vec
SOX9	20.5162832836	40331	0.508697609373	0.00666119912443	2.69869963481902
SP1	55.9619164161	94471	0.59237137763	0.0071253274463	3.0932803712865
SREBF1	5.04587155963	6763	0.7460995948	0.00838939284939	3.5126639776128
STAT3	60.2558229633	91045	0.661824624782	0.00770960112431	2.45475634969466
STAT6	21.7086627951	28886	0.751528865025	0.00830180639807	2.75158158078053
TBX2	9.56912390048	15974	0.599043689776	0.00733118864818	3.21150645368758
TCF3	19.4932524972	38056	0.512225470286	0.00700162590024	3.11266537295122
TEAD1	11.9468051835	16583	0.720424843724	0.00812240817719	3.49069852875054
TEAD3	6.75119119594	11513	0.58639722018	0.00719931681674	2.71273278919406
TEF	8.71333742361	18683	0.466377852787	0.00645590524957	2.27656730100111
TFAP2A	13.1339677421	24678	0.532213621123	0.00685254392228	2.67649506431477
TGIF1	7.89064926996	10098	0.781407137053	0.00824196519847	3.65935129088022
THRA	8.11965811966	3214	2.52634042304	0.0146318132053	4.75240381489061
THRB	14.2060150336	10396	1.36648855653	0.0107317916376	5.13239253107497
YY1	60.2037210005	62884	0.957377409206	0.00916962030997	4.19759585014819
ZBTB38	5.92490118577	6957	0.851645994792	0.00870392966529	3.62414741705662
ZBTB7A	1.41441441441	3358	0.421207389641	0.00609085245351	3.53815933373846
ZFP281	30.5277230475	46544	0.655889546397	0.00749850388106	3.43087606939168
ZFP422	6.21460746461	10952	0.567440418609	0.00712640544212	2.34522076304454
ZFP91	3.09961574903	7322	0.423329110766	0.00610895335571	2.39270368784371
ZFPM1	5.31531531532	5996	0.886476870466	0.00889252157047	3.77167692807813
